seq_id	clans	has_samases	has_ocrs	has_stpks	has_T3p0.6	has_T7p0.4	has_T7p0.6B	has_T3p0.65	has_T7p0.6A	has_T7p0.5	has_adgs	has_htgs
ERS743403|NODE_20_length_39239_cov_57.072453	frozenset({'394_pair', '224_pair', '2737_mono', '267_pair', '13_clan', '1_clan, 6_clan, 9_clan', '2529_mono', '2702_mono', '144_clan', '349_pair', '1629_mono', '707_mono', '1533_mono', '343_pair'})	False	False	False	False	False	False	False	False	False	False	False
ERS743404|NODE_11_length_73614_cov_79.587800	frozenset({'1442_mono', '1054_mono', '6_clan, 9_clan', '1757_mono', '107_clan', '243_pair', '190_clan', '2705_mono', '975_mono', '822_mono', '649_mono', '1923_mono', '1_clan, 9_clan', '1209_mono', '699_mono', '387_pair', '45_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS743404|NODE_26_length_36722_cov_10.392887	frozenset({'249_pair', '14_clan', '12_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '1412_mono', '2601_mono', '24_clan', '5_clan', '1578_mono', '627_mono', '103_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS743404|NODE_32_length_28217_cov_9.871387	frozenset({'411_pair', '1_clan, 6_clan, 9_clan', '15_clan', '21_clan', '171_clan', '63_clan'})	False	False	False	True	False	False	False	False	False	False	True
ERS743411|NODE_47_length_20350_cov_11.596452	frozenset({'1_clan, 6_clan, 9_clan', '12_clan', '2305_mono'})	False	False	False	False	False	False	False	False	False	False	False
ERS743425|NODE_28_length_17792_cov_14.092688	frozenset({'1135_mono', '2227_mono', '12_clan', '2392_mono', '1234_mono', '1_clan, 6_clan, 9_clan', '126_clan', '1501_mono', '44_clan', '337_pair'})	False	False	False	False	False	False	False	False	False	False	False
ERS743426|NODE_24_length_38780_cov_14.227450	frozenset({'394_pair', '2546_mono', '2737_mono', '267_pair', '13_clan', '253_pair', '1_clan, 6_clan, 9_clan', '144_clan', '1414_mono', '2236_mono', '1629_mono', '309_pair', '2101_mono', '343_pair'})	False	False	False	False	False	False	False	False	False	False	False
ERS743426|NODE_302_length_7108_cov_5.547710	frozenset({'14_clan', '12_clan', '17_clan', '1_clan, 6_clan, 9_clan', '122_clan', '46_clan', '19_clan', '5_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795738|NODE_4_length_10144_cov_3.907058	frozenset({'outlier: 79_clan', '1_clan, 6_clan, 9_clan', '33_clan', '18_clan', '15_clan', '4_clan, 8_clan'})	False	True	False	True	False	False	False	False	False	True	True
ERS795738|NODE_6_length_8951_cov_3.296011	frozenset({'16_clan', '1_clan, 6_clan, 9_clan', '1363_mono', '12_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795739|NODE_5_length_9125_cov_1.804734	frozenset({'16_clan', '1_clan, 6_clan, 9_clan', '1363_mono', '12_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795744|NODE_3_length_14736_cov_2.635772	frozenset({'1_clan, 6_clan, 9_clan', 'outlier: 1_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795747|NODE_19_length_3809_cov_1.667572	frozenset({'16_clan', '1_clan, 6_clan, 9_clan', '1363_mono', '12_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795768|NODE_1_length_45055_cov_19.744703	frozenset({'11_clan', '2592_mono', '13_clan', 'outlier: 13_clan', '2774_mono', '2005_mono', '119_clan', '2600_mono', '410_pair', '24_clan', '2584_mono', '598_mono', '180_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795769|NODE_3_length_21667_cov_4.978134	frozenset({'2277_mono', '1555_mono', '1_clan, 6_clan, 9_clan', '1594_mono', '1933_mono', '7_clan', '379_pair', '1450_mono', '468_mono', '1913_mono', '41_clan', '225_pair'})	False	False	False	False	False	False	False	False	False	False	False
ERS795772|NODE_42_length_3621_cov_2.296222	frozenset({'2319_mono', 'bridge: 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan, 1_clan', '1913_mono', '1_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795789|NODE_1_length_38124_cov_7.214622	frozenset({'outlier: 84_clan', '13_clan', '1_clan, 6_clan, 9_clan', '15_clan', '380_pair', '21_clan', '19_clan', '68_clan', '63_clan', '282_pair', '34_clan'})	False	False	False	True	False	False	False	False	False	False	True
ERS795790|NODE_3_length_37118_cov_27.174421	frozenset({'outlier: 84_clan', '13_clan', '1_clan, 6_clan, 9_clan', '33_clan', '15_clan', '380_pair', '21_clan', '19_clan', '68_clan', '63_clan', '282_pair', '34_clan'})	False	True	False	True	False	False	False	False	False	True	True
ERS795827|NODE_28_length_4908_cov_2.505752	frozenset({'596_mono', '14_clan', '12_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '5_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795827|NODE_5_length_13253_cov_83.490858	frozenset({'2398_mono', '14_clan', '12_clan', '95_clan', '1_clan, 6_clan, 9_clan', '122_clan', '46_clan', '19_clan', '5_clan', '566_mono', '82_clan', '103_clan', '93_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795860|NODE_3_length_25757_cov_65.593133	frozenset({'3_clan', '14_clan', '88_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '346_pair', '5_clan', '82_clan', '103_clan', '93_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795871|NODE_85_length_2992_cov_1.543106	frozenset({'496_mono', '2272_mono', '6_clan, 9_clan', '39_clan', '9_clan', '40_clan'})	False	False	False	False	False	False	False	False	False	False	False
ERS795879|NODE_7_length_9073_cov_3.780237	frozenset({'193_clan', '1_clan, 6_clan, 9_clan', '1280_mono', '47_clan', '718_mono', '2495_mono'})	False	False	False	False	False	False	False	False	False	False	False
GU071093.1	frozenset({'1926_mono', '347_pair', '991_mono', '23_clan', '2347_mono', '2025_mono', '49_clan', '1662_mono', '237_pair', '16_clan', '416_pair', '1974_mono', '2_clan', '1_clan, 9_clan', '249_pair', '979_mono', '330_pair', '271_pair'})	False	False	False	False	False	False	False	False	False	False	False
GU393987.1	frozenset({'562_mono', '14_clan', 'outlier: 3_clan', '531_mono', '257_pair', '1_clan, 6_clan, 9_clan', '5_clan', '26_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
HG796219.1	frozenset({'172_clan', '14_clan', '1_clan, 6_clan, 9_clan', '5_clan', '38_clan', '26_clan', '609_mono', '788_mono', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
HG796221.1	frozenset({'1_clan, 6_clan, 9_clan', '609_mono'})	False	False	False	False	False	False	False	False	False	False	False
HG994092.1	frozenset({'22_clan, 25_clan, 52_clan', '1_clan, 6_clan, 9_clan', '18_clan', '79_clan', '15_clan', '4_clan, 8_clan'})	True	False	False	True	False	False	True	False	False	True	True
HQ641341.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
HQ641342.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2645_mono', '2087_mono', '140_clan', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
HQ641343.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
HQ641344.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
Han_2018_ERR1398150_NODE_58_length_43653_cov_10.293798	frozenset({'93_clan', 'outlier: 19_clan', '14_clan', '12_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '1557_mono', '19_clan', '80_clan', '5_clan', '103_clan', '82_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
Han_2018_ERR1398227_NODE_92_length_44625_cov_34.029616	frozenset({'285_pair', '1129_mono', '151_clan', '1_clan', '414_pair', '33_clan', '397_pair', '355_pair', '66_clan', '150_clan', '134_clan'})	False	True	False	False	False	False	False	False	False	True	False
Han_2018_ERR1398246_NODE_859_length_15055_cov_4.942867	frozenset({'307_pair', '1_clan, 6_clan, 9_clan', '33_clan', '15_clan', '21_clan', '116_clan', '171_clan', '63_clan'})	False	True	False	True	False	False	False	False	False	True	True
Han_2018_ERR1398252_NODE_3961_length_7003_cov_3.469775	frozenset({'115_clan', '1_clan', '144_clan', '1955_mono', '1470_mono', '181_clan', '436_pair', 'outlier: 44_clan', '2622_mono'})	False	False	False	False	False	False	False	False	False	False	False
JQ780163.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '175_clan', '140_clan', '52_clan', '214_pair'})	True	False	False	False	False	False	False	False	False	True	False
JQ965701.1	frozenset({'outlier: 48_clan', '20_clan', '399_pair', '31_clan', '1_clan, 6_clan, 9_clan', '33_clan', '94_clan', '4_clan, 8_clan'})	False	True	False	False	True	True	False	True	False	True	True
KC109329.1	frozenset({'1_clan, 6_clan, 9_clan', '2696_mono', '284_pair', '33_clan', '15_clan', '21_clan', '171_clan', '63_clan'})	False	True	False	True	False	False	False	False	False	True	True
KY295893.1	frozenset({'285_pair', '1_clan', '2278_mono', '793_mono', '33_clan', '397_pair', '66_clan', '150_clan', '431_pair', '1488_mono', '1524_mono', '2218_mono'})	False	True	False	False	False	False	False	False	False	True	False
KY435490.1	frozenset({'285_pair', '690_mono', '1_clan', '842_mono', '33_clan', '397_pair', '208_pair', '66_clan', '150_clan', '1488_mono', '2218_mono'})	False	True	False	False	False	False	False	False	False	True	False
KY744566.1	frozenset({'285_pair', '1_clan', '2742_mono', '66_clan', '1075_mono', '1452_mono', '175_clan', '1141_mono', '2726_mono', '52_clan', '152_clan'})	True	False	False	False	False	False	False	False	False	True	False
KY883644.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '140_clan', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
KY883645.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
KY883648.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
KY883649.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
KY883651.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
Kang_0027_ST001_A_NODE_79_length_20645_cov_191.333123	frozenset({'1562_mono', '1765_mono', '759_mono', '1_clan, 6_clan, 9_clan', '1460_mono', '2114_mono', '2196_mono'})	False	False	False	False	False	False	False	False	False	False	False
LC727700.1	frozenset({'3_clan', '172_clan', '1_clan, 6_clan, 9_clan', '173_clan', '147_clan', '30_clan', '5_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR778216.1	frozenset({'3_clan', '172_clan', '14_clan', '1038_mono', '428_pair', '1_clan, 6_clan, 9_clan', '270_pair', '5_clan', '26_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR796183.1	frozenset({'2279_mono', '23_clan', '1290_mono', '774_mono', '1510_mono', '1_clan, 6_clan, 9_clan', '1453_mono', '2346_mono', '1784_mono', '2_clan', '2750_mono', '429_pair', '2136_mono', '1161_mono', '2235_mono', '1788_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796349.1	frozenset({'23_clan', '1790_mono', '316_pair', '2380_mono', '84_clan', '1_clan, 6_clan, 9_clan', '1672_mono', '2248_mono', '2_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR796353.1	frozenset({'2437_mono', '654_mono', '2554_mono', '804_mono', '23_clan', '1_clan, 6_clan, 9_clan', '918_mono', '304_pair', '1772_mono', '1352_mono', 'bridge: 2_clan, 2_clan, 2_clan', '743_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796356.1	frozenset({'511_mono', '1589_mono', '1264_mono', '1293_mono', '23_clan', '1_clan, 6_clan, 9_clan', '1157_mono', '630_mono', '1026_mono', '1944_mono', '1887_mono', '106_clan', '2_clan', '1254_mono', '427_pair'})	False	False	False	False	False	False	False	False	False	False	False
LR796364.1	frozenset({'23_clan', '1634_mono', '946_mono', '1194_mono', '16_clan', '2_clan', '1932_mono', '854_mono', '2597_mono', '2607_mono', '2292_mono', '934_mono', '2653_mono', '1355_mono', '1626_mono', '446_mono', '1218_mono', '423_pair', '1_clan, 6_clan, 9_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR796375.1	frozenset({'2131_mono', '378_pair', '2225_mono', '938_mono', '1_clan, 6_clan, 9_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR796381.1	frozenset({'1_clan', 'bridge: 23_clan, 23_clan', '1072_mono', '1811_mono', '2_clan', '1828_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796449.1	frozenset({'513_mono', '1_clan', '2719_mono', '2383_mono', '2312_mono', '2209_mono', '1088_mono', '2500_mono', '1941_mono', '2721_mono', '2361_mono', '2510_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796537.1	frozenset({'2513_mono', '423_pair', '23_clan', '2538_mono', '2597_mono', '1_clan, 6_clan, 9_clan', '1869_mono', '2292_mono', '1642_mono', '106_clan', '1674_mono', '2_clan', '1816_mono', '2797_mono', '2396_mono', '2162_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796713.1	frozenset({'654_mono', '2437_mono', '23_clan', '804_mono', '1_clan, 6_clan, 9_clan', '918_mono', '1018_mono', '304_pair', '765_mono', '1748_mono', '1352_mono', 'bridge: 2_clan, 2_clan, 2_clan', '743_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796716.1	frozenset({'2192_mono', '2300_mono', '1963_mono', '1_clan', '2013_mono', '1595_mono', '2061_mono', '106_clan', '2_clan', '498_mono', '889_mono', '2462_mono', '1749_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796773.1	frozenset({'943_mono', '532_mono', '2364_mono', '23_clan', '2336_mono', '1_clan, 6_clan, 9_clan', '106_clan', '2_clan', '366_pair', '552_mono', '2296_mono', '1009_mono', '810_mono', '1197_mono', '1872_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796849.1	frozenset({'23_clan', '2652_mono', '2583_mono', '1_clan, 6_clan, 9_clan', '2372_mono', '2177_mono', '755_mono', '1699_mono', '2_clan', '1109_mono', '1632_mono', '883_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR796934.1	frozenset({'2154_mono', '687_mono', '1283_mono', '23_clan', '1_clan', '2732_mono', '1679_mono', '2633_mono', '2_clan', '2521_mono', '2202_mono', '643_mono', '2542_mono', '1493_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR797151.1	frozenset({'252_pair', '2167_mono', '1_clan', '1174_mono', '441_mono', '881_mono', '595_mono', '2528_mono', '845_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR797821.1	frozenset({'172_clan', '1_clan, 6_clan, 9_clan', '1187_mono', '121_clan', '19_clan', '5_clan', '26_clan', '1812_mono', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
LR798198.1	frozenset({'1894_mono', '2636_mono', '1259_mono', '23_clan', '1310_mono', '1378_mono', '1_clan, 6_clan, 9_clan', '855_mono', '106_clan', '1069_mono', '366_pair', '2_clan', '2404_mono', '1848_mono'})	False	False	False	False	False	False	False	False	False	False	False
LR798386.1	frozenset({'23_clan', '2583_mono', '1_clan, 6_clan, 9_clan', '2372_mono', '2177_mono', '755_mono', '1699_mono', '2_clan', '1109_mono', '1632_mono', '883_mono'})	False	False	False	False	False	False	False	False	False	False	False
LT961836.1	frozenset({'1373_mono', '20_clan', '1113_mono', '13_clan', '17_clan', '67_clan', '1_clan, 6_clan, 9_clan', '1090_mono', '56_clan', '97_clan', 'outlier: 15_clan', '701_mono'})	False	True	False	False	True	False	False	False	False	True	True
LT961837.1	frozenset({'20_clan', '1113_mono', '67_clan', '1_clan, 6_clan, 9_clan', 'outlier: 15_clan', '701_mono'})	False	True	False	False	True	False	False	False	False	True	True
LT961838.1	frozenset({'1373_mono', '20_clan', '1113_mono', '13_clan', '17_clan', '67_clan', '1_clan, 6_clan, 9_clan', '1090_mono', '56_clan', '97_clan', 'outlier: 15_clan', '701_mono'})	False	True	False	False	True	False	False	False	False	True	True
LT961846.1	frozenset({'1373_mono', '20_clan', '1113_mono', '13_clan', '17_clan', '1_clan, 6_clan, 9_clan', '1090_mono', '67_clan', '56_clan', '97_clan', 'outlier: 67_clan', 'outlier: 15_clan', '701_mono'})	False	True	False	False	True	False	False	False	False	True	True
MF574151.1	frozenset({'838_mono', '1_clan, 6_clan, 9_clan', '988_mono', '2087_mono', '52_clan', '2711_mono'})	True	False	False	False	False	False	False	False	False	True	False
MG575418.1	frozenset({'1904_mono', '5_clan', '14_clan', '95_clan', '1567_mono', '1_clan, 6_clan, 9_clan', '2264_mono', '2796_mono', '222_pair', '2425_mono', '38_clan', '568_mono', '371_pair', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MG575419.1	frozenset({'5_clan', '14_clan', '95_clan', '1567_mono', '1_clan, 6_clan, 9_clan', '2264_mono', '1345_mono', '768_mono', '2796_mono', '222_pair', '2425_mono', '38_clan', '568_mono', '371_pair', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0150089	frozenset({'403_pair', '623_mono', '704_mono', '2303_mono', '1_clan, 6_clan, 9_clan', '827_mono', '982_mono', '2325_mono', '2323_mono', '356_pair', '2342_mono', '1029_mono', '211_pair', '36_clan', '1434_mono', '1886_mono', '2370_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0150506	frozenset({'261_pair', '1407_mono', '704_mono', '1_clan, 6_clan, 9_clan', '1086_mono', '982_mono', '356_pair', '36_clan', '2240_mono', '2303_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0163628	frozenset({'93_clan', '17_clan', '14_clan', '95_clan', '12_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '80_clan', '19_clan', '5_clan', '103_clan', '82_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0167885	frozenset({'1474_mono', '263_pair', '1_clan, 6_clan, 9_clan', '1891_mono', '900_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0173242	frozenset({'193_clan', '1_clan', 'outlier: 1_clan', '2700_mono', '1280_mono', '47_clan', '2495_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0175325	frozenset({'1_clan, 6_clan, 9_clan', '1238_mono', '65_clan', '472_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0177633	frozenset({'1_clan, 6_clan, 9_clan', '2026_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0178977	frozenset({'201_pair', 'bridge: 16_clan, 16_clan', '12_clan', '795_mono', '1_clan, 6_clan, 9_clan', '132_clan', '142_clan', 'outlier: 16_clan', '32_clan, 142_clan', '16_clan', '1284_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0181932	frozenset({'1801_mono', '1_clan, 6_clan, 9_clan', '1198_mono', '1130_mono', '91_clan', '2605_mono', '490_mono', '329_pair', '2_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0183280	frozenset({'545_mono', '945_mono', '2723_mono', '13_clan', '713_mono', '1_clan, 6_clan, 9_clan', '1663_mono', '96_clan', '1252_mono', '16_clan', '2766_mono', '2012_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0185625	frozenset({'2227_mono', '784_mono', '12_clan', '2392_mono', '1_clan, 6_clan, 9_clan', '327_pair', '322_pair', '44_clan', '1501_mono', '337_pair'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0188590	frozenset({'285_pair', '411_pair', '151_clan', '1_clan', '2810_mono', '104_clan', '414_pair', '397_pair', '2218_mono', '134_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0189393	frozenset({'outlier: 79_clan', '1_clan, 6_clan, 9_clan', '33_clan', '15_clan', '18_clan', '24_clan', '175_clan', '171_clan', '4_clan, 8_clan'})	False	True	False	True	False	False	False	False	False	True	True
MGV-GENOME-0194798	frozenset({'2398_mono', '1423_mono', '93_clan', '1911_mono', '14_clan', '12_clan', '95_clan', '1_clan', '122_clan', '46_clan', '2203_mono', '80_clan', '5_clan', '103_clan', '82_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0198224	frozenset({'14_clan', '17_clan', '12_clan', '1_clan, 6_clan, 9_clan', '122_clan', '46_clan', '80_clan', '19_clan', '5_clan', '82_clan', '103_clan', '93_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0199759	frozenset({'13_clan', '235_pair', '1_clan, 6_clan, 9_clan', '15_clan', '97_clan', '380_pair', '111_clan', 'outlier: 62_clan', 'outlier: 84_clan', '76_clan', '282_pair'})	False	False	False	True	False	False	False	False	False	False	True
MGV-GENOME-0200261	frozenset({'515_mono', '1_clan, 6_clan, 9_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0201092	frozenset({'1798_mono', '115_clan', '114_clan, 198_clan', '1_clan, 6_clan, 9_clan', '1456_mono', '2394_mono', '890_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0202796	frozenset({'1562_mono', '188_clan', '1167_mono', '759_mono', '1765_mono', '1_clan, 6_clan, 9_clan', '1460_mono', '2114_mono', '2_clan', '1329_mono', '589_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0206986	frozenset({'1423_mono', '93_clan', '14_clan', '12_clan', '122_clan', '1_clan, 6_clan, 9_clan', '46_clan', '19_clan', '5_clan', '103_clan', '82_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0207384	frozenset({'1_clan, 6_clan, 9_clan', '33_clan', '18_clan', '79_clan', '15_clan', '175_clan', '4_clan, 8_clan'})	False	True	False	True	False	False	True	False	False	True	True
MGV-GENOME-0210182	frozenset({'795_mono', '1_clan, 6_clan, 9_clan', '12_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0212100	frozenset({'12_clan', '795_mono', '1_clan, 6_clan, 9_clan', '142_clan', 'outlier: 16_clan', '16_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0219685	frozenset({'172_clan', '1_clan, 6_clan, 9_clan', '1697_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0221120	frozenset({'1184_mono', '14_clan', '12_clan', '95_clan', '1_clan, 6_clan, 9_clan', '122_clan', '46_clan', '1412_mono', '19_clan', '5_clan', '103_clan', '10_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0224069	frozenset({'193_clan', '1799_mono', '1_clan, 6_clan, 9_clan', '1207_mono', '1280_mono', '47_clan', '1370_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0224120	frozenset({'185_clan', '704_mono', '2326_mono', '1_clan, 6_clan, 9_clan', '156_clan', '1805_mono', '1732_mono', '639_mono', '36_clan', '702_mono', '2150_mono', '494_mono', '293_pair', '203_pair'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0228168	frozenset({'71_clan', '57_clan', '859_mono', '1_clan, 6_clan, 9_clan', '1607_mono', '1114_mono', '1238_mono', '407_pair', '43_clan', '2066_mono', '65_clan', '1540_mono', '472_mono', '2064_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0228924	frozenset({'1_clan, 6_clan, 9_clan', '1033_mono', '2450_mono', '57_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0229139	frozenset({'115_clan', '1097_mono', '114_clan, 198_clan', '1_clan, 6_clan, 9_clan', '2394_mono', '890_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0231127	frozenset({'320_pair', '1_clan, 6_clan, 9_clan', '2735_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0232378	frozenset({'118_clan', '1417_mono', '1853_mono', '90_clan', '260_pair', '1_clan, 6_clan, 9_clan', '1794_mono', '489_mono', '144_clan', '2130_mono', '430_pair', '1726_mono', '1675_mono', '2179_mono', '72_clan', '50_clan', 'outlier: 37_clan'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0232729	frozenset({'394_pair', '2508_mono', '1_clan, 6_clan, 9_clan', '454_mono', '1844_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0234917	frozenset({'2707_mono', '37_clan', '2106_mono', '1_clan, 6_clan, 9_clan', '1238_mono', '2066_mono', '814_mono', '1106_mono', '472_mono', '2483_mono', '2083_mono'})	False	False	False	False	False	False	False	False	False	False	False
MGV-GENOME-0236364	frozenset({'1984_mono', '12_clan', '1_clan, 6_clan, 9_clan', '2626_mono', '37_clan'})	False	False	False	False	False	False	False	False	False	False	False
